iter	Passed	Remaining
0	149	149235
1	151	75469
2	153	50873
3	154	38559
4	157	31278
5	159	26360
6	161	22848
7	162	20204
8	164	18150
9	166	16504
10	168	15170
11	171	14104
12	173	13182
13	175	12374
14	177	11658
15	179	11016
16	180	10455
17	182	9968
18	184	9520
19	185	9108
20	187	8725
21	188	8374
22	189	8046
23	190	7743
24	191	7467
25	192	7211
26	193	6964
27	193	6734
28	194	6521
29	195	6323
30	196	6139
31	197	5971
32	198	5816
33	199	5668
34	200	5518
35	200	5376
36	201	5242
37	202	5114
38	202	4994
39	203	4879
40	203	4771
41	204	4667
42	205	4567
43	205	4472
44	206	4381
45	207	4294
46	207	4211
47	208	4131
48	208	4056
49	209	3982
50	210	3911
51	210	3844
52	211	3782
53	212	3726
54	213	3671
55	214	3613
56	215	3557
57	215	3504
58	216	3451
59	217	3400
60	217	3350
61	218	3303
62	219	3260
63	219	3216
64	220	3175
65	221	3135
66	222	3098
67	222	3055
68	223	3017
69	224	2982
70	225	2946
71	226	2913
72	226	2882
73	228	2853
74	228	2822
75	229	2790
76	230	2759
77	230	2728
78	231	2699
79	232	2671
80	233	2644
81	233	2617
82	234	2589
83	235	2563
84	235	2535
85	236	2510
86	236	2485
87	237	2460
88	238	2437
89	238	2414
90	239	2391
91	240	2370
92	240	2349
93	241	2329
94	242	2313
95	243	2295
96	244	2275
97	245	2255
98	245	2237
99	246	2220
100	247	2203
101	247	2182
102	248	2166
103	249	2149
104	250	2133
105	250	2116
106	251	2100
107	252	2084
108	253	2069
109	253	2054
110	254	2040
111	255	2026
112	256	2013
113	257	2001
114	258	1988
115	259	1973
116	259	1960
117	260	1946
118	261	1932
119	261	1919
120	262	1906
121	263	1893
122	263	1878
123	264	1865
124	264	1852
125	265	1840
126	266	1828
127	266	1815
128	267	1803
129	267	1792
130	268	1781
131	269	1770
132	270	1760
133	270	1750
134	271	1742
135	272	1733
136	273	1722
137	274	1711
138	274	1701
139	275	1692
140	276	1682
141	276	1673
142	277	1663
143	278	1654
144	279	1645
145	279	1635
146	280	1626
147	281	1617
148	281	1608
149	282	1600
150	283	1591
151	283	1583
152	284	1575
153	285	1567
154	286	1560
155	287	1554
156	288	1547
157	288	1540
158	289	1532
159	290	1524
160	291	1516
161	291	1509
162	292	1501
163	293	1494
164	293	1487
165	294	1479
166	295	1472
167	296	1466
168	297	1462
169	298	1455
170	299	1450
171	300	1444
172	301	1442
173	303	1438
174	304	1434
175	305	1428
176	306	1423
177	306	1417
178	307	1411
179	308	1405
180	308	1397
181	309	1391
182	310	1384
183	310	1378
184	311	1372
185	312	1366
186	312	1359
187	313	1353
188	313	1346
189	314	1340
190	315	1334
191	315	1329
192	316	1325
193	317	1320
194	318	1314
195	318	1308
196	319	1302
197	320	1296
198	320	1291
199	321	1285
200	322	1280
201	322	1275
202	323	1269
203	323	1264
204	324	1258
205	325	1253
206	325	1247
207	326	1242
208	326	1237
209	327	1232
210	328	1227
211	328	1222
212	329	1217
213	330	1212
214	330	1207
215	331	1204
216	332	1199
217	333	1194
218	333	1190
219	334	1185
220	335	1181
221	335	1176
222	336	1172
223	337	1170
224	338	1166
225	339	1161
226	339	1157
227	340	1152
228	341	1148
229	341	1143
230	342	1139
231	342	1134
232	343	1130
233	344	1126
234	344	1121
235	345	1118
236	346	1114
237	346	1110
238	347	1106
239	347	1101
240	348	1097
241	349	1093
242	349	1089
243	350	1085
244	350	1081
245	351	1077
246	352	1073
247	352	1069
248	353	1065
249	353	1061
250	354	1058
251	355	1054
252	355	1050
253	356	1046
254	356	1042
255	357	1039
256	358	1035
257	358	1031
258	359	1028
259	360	1024
260	360	1021
261	361	1017
262	361	1014
263	362	1010
264	363	1007
265	363	1003
266	364	1000
267	365	996
268	365	993
269	366	990
270	366	986
271	367	983
272	368	980
273	368	976
274	369	973
275	369	970
276	370	966
277	371	963
278	371	960
279	372	957
280	372	953
281	373	950
282	374	947
283	374	944
284	375	941
285	375	938
286	376	935
287	377	932
288	377	928
289	378	925
290	378	922
291	379	920
292	380	917
293	380	914
294	381	911
295	381	908
296	382	905
297	383	902
298	383	899
299	384	896
300	384	893
301	385	890
302	386	888
303	386	885
304	387	882
305	387	879
306	388	876
307	389	874
308	389	871
309	390	868
310	390	866
311	391	863
312	392	860
313	392	858
314	393	855
315	393	852
316	394	850
317	395	847
318	395	845
319	396	842
320	397	840
321	397	837
322	398	835
323	399	832
324	399	830
325	400	827
326	401	825
327	401	823
328	402	820
329	402	818
330	403	815
331	404	813
332	404	810
333	405	808
334	405	805
335	406	803
336	407	801
337	407	798
338	408	796
339	408	793
340	409	791
341	410	789
342	410	786
343	411	784
344	411	781
345	412	779
346	413	777
347	413	775
348	414	772
349	414	770
350	415	768
351	416	765
352	416	763
353	417	761
354	417	759
355	418	756
356	418	754
357	419	752
358	420	750
359	420	747
360	421	745
361	421	743
362	422	741
363	423	739
364	424	737
365	424	735
366	425	733
367	425	731
368	426	729
369	427	727
370	427	725
371	428	723
372	428	720
373	429	718
374	430	716
375	430	714
376	431	712
377	432	710
378	432	708
379	433	706
380	433	704
381	434	702
382	435	700
383	435	698
384	436	697
385	437	695
386	437	693
387	438	691
388	438	689
389	439	687
390	440	685
391	440	683
392	441	681
393	441	679
394	442	677
395	443	675
396	443	674
397	444	672
398	444	670
399	445	668
400	446	666
401	446	664
402	447	662
403	447	660
404	448	658
405	449	657
406	449	655
407	450	653
408	450	651
409	451	649
410	452	648
411	452	646
412	453	644
413	454	642
414	454	640
415	455	639
416	455	637
417	456	635
418	456	633
419	457	632
420	458	630
421	458	628
422	459	626
423	460	625
424	460	623
425	461	621
426	461	619
427	462	618
428	463	616
429	463	614
430	464	612
431	464	611
432	465	609
433	466	608
434	466	606
435	467	604
436	468	602
437	468	601
438	469	599
439	469	597
440	470	596
441	471	594
442	471	592
443	472	591
444	472	589
445	473	588
446	473	586
447	474	584
448	475	583
449	475	581
450	476	579
451	476	578
452	477	576
453	478	575
454	478	573
455	479	571
456	479	570
457	480	568
458	481	567
459	481	565
460	482	563
461	482	562
462	483	560
463	484	559
464	484	557
465	485	556
466	485	554
467	486	552
468	487	551
469	487	549
470	488	548
471	488	546
472	489	545
473	489	543
474	490	542
475	491	540
476	491	539
477	492	537
478	493	536
479	493	534
480	494	533
481	494	531
482	495	530
483	496	528
484	496	527
485	497	526
486	497	524
487	498	523
488	499	521
489	499	520
490	500	518
491	500	517
492	501	515
493	502	514
494	502	512
495	503	511
496	503	510
497	504	508
498	505	507
499	505	505
500	506	504
501	506	502
502	507	501
503	508	499
504	508	498
505	509	497
506	510	496
507	510	494
508	511	493
509	512	492
510	513	491
511	513	489
512	514	488
513	515	487
514	516	486
515	517	484
516	517	483
517	518	482
518	519	481
519	519	479
520	520	478
521	521	477
522	522	476
523	522	474
524	523	473
525	524	472
526	525	471
527	525	470
528	526	468
529	527	467
530	527	466
531	528	464
532	529	463
533	529	462
534	530	461
535	531	459
536	531	458
537	532	457
538	533	456
539	533	454
540	534	453
541	535	452
542	536	451
543	536	450
544	537	448
545	538	447
546	539	446
547	539	445
548	540	443
549	540	442
550	541	441
551	542	439
552	542	438
553	543	437
554	543	436
555	544	434
556	545	433
557	545	432
558	546	431
559	547	429
560	547	428
561	548	427
562	548	426
563	549	424
564	550	423
565	550	422
566	551	420
567	551	419
568	552	418
569	553	417
570	553	415
571	554	414
572	554	413
573	555	412
574	555	410
575	556	409
576	557	408
577	557	407
578	558	406
579	559	404
580	559	403
581	560	402
582	560	401
583	561	399
584	562	398
585	562	397
586	563	396
587	563	395
588	564	393
589	565	392
590	565	391
591	566	390
592	566	389
593	567	387
594	568	386
595	568	385
596	569	384
597	569	383
598	570	381
599	571	380
600	571	379
